ID,Restaurant,Cuisine,Price,Location,Reservation Online Tool,Phone,Website,Blurb,Tripadvisor ID,Tripadvisor Rating,Yelp ID,Yelp Ration,Mo,Tu,We,Th,Fr,Sa,Su
1,Billie's Bier Kafetaria,Belgian,€€ - €€€,"Kammenstraat 12, 2000 Antwerpen",N,03 226 31 83,https://www.facebook.com/billiesbierkafetaria/,Beer degustation bar with surprisingly good food,https://www.tripadvisor.com/Restaurant_Review-g188636-d6372576-Reviews-Billie_s_Bier_Kafetaria-Antwerp_Antwerp_Province.html,4.5,https://en.yelp.be/biz/billies-bier-kaf%C3%A9taria-antwerpen-2,4.5,18h-24h,X,16h-24h,16h-24h,16h-02h,15h-02h,15h-24h
2,Zaowang,Japanese,€€ - €€€,"Oude Koornmarkt 22, 2000 Antwerpen",Y,03 290 55 29,http://www.zaowang.be/,Sushi boats coming your way,https://www.tripadvisor.com/Restaurant_Review-g188636-d799258-Reviews-Zaowang-Antwerp_Antwerp_Province.html,4,https://en.yelp.be/biz/zaowang-antwerpen,4,12h-22h,12h-22h,12h-22h,12h-22h,12h-22.30h,12h-22.30h,12h-22h
3,Zaowang Zuid,Japanese,€€ - €€€,"Scheldestraat 72, 2000 Antwerpen",Y,03 336 07 60,http://www.zaowang.be/,Sushi boats coming your way,https://www.tripadvisor.be/Restaurant_Review-g188636-d4581748-Reviews-Zaowang_Zuid-Antwerp_Antwerp_Province.html,4,https://en.yelp.be/biz/zaowang-antwerpen-2,4,12h-22h,12h-22h,12h-22h,12h-22h,12h-22.30h,12h-22.30h,12h-22h
4,Cilvilta del Bere,Italian,€€ - €€€,"De Burburestraat 43, 2000 Antwerpen",N,03 257 56 60,https://www.civiltadelbere.be,Authentic pizza to die for,https://www.tripadvisor.com/Restaurant_Review-g188636-d3609053-Reviews-Civilta_del_Bere-Antwerp_Antwerp_Province.html,4,https://en.yelp.be/biz/civilta-del-bere-antwerpen,4.5,12h-23h,X,12h-23h,12h-23h,12h-23h,12h-23h,12h-23h
5,Bistrot Miro,Belgian,€€ - €€€,"Moorkensplein 28, 2140 Antwerpen",Y,03 235 03 25,www.bistrotmiro.be,Belgian cuisine with Catalan influences,https://www.tripadvisor.com/Restaurant_Review-g188636-d4066259-Reviews-Bistrot_Miro-Antwerp_Antwerp_Province.html,4.5,https://en.yelp.be/biz/bistrot-miro-antwerpen,4.5,X,18h-21h,18h-21h,18h-21h,18h-21h,18h-21h,X
6,Ciro's,Belgian,€€ - €€€,"Amerikalei 6, 2000 Antwerpen",N,03 238 11 47,www.ciros.be,"Pure Belgian tradition, what more do you need",https://www.tripadvisor.com/Restaurant_Review-g188636-d1014953-Reviews-Ciro_s-Antwerp_Antwerp_Province.html,4,https://www.yelp.com/biz/ciros-antwerpen?hrid=ESzfqzyRXdrVZgkuMqth6w,4.5,X,11h-22h,11h-22h,11h-22h,11h-22h,17h-22h,11h-22h
7,Ellis Gourmet Burger,American,€€ - €€€,"Sint Aldegondiskaai 52, 2000 Antwerpen",N,03 344 54 55,http://ellisgourmetburger.be,Burger Heaven,https://www.tripadvisor.com/Restaurant_Review-g188636-d4362916-Reviews-Ellis_Gourmet_Burger_Sint_Aldegondiskaai-Antwerp_Antwerp_Province.html,4,https://en.yelp.be/biz/ellis-gourmet-burger-antwerpen-3,3.5,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h
8,Ellis Gourmet Burger,American,€€ - €€€,"De Keyserlei 21, 2000 Antwerpen",N,03 344 54 55,http://ellisgourmetburger.be,Burger Heaven,https://www.tripadvisor.com/Restaurant_Review-g188636-d6560869-Reviews-Ellis_Gourmet_Burger_De_Keyserlei-Antwerp_Antwerp_Province.html,4,https://en.yelp.be/biz/ellis-gourmet-burger-antwerpen-4,3.5,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h
9,Ellis Gourmet Burger,American,€€ - €€€,"Leopold de Waelplaats 2, 2000 Antwerpen",N,03 361 07 10,http://ellisgourmetburger.be,Burger Heaven,https://www.tripadvisor.be/Restaurant_Review-g188636-d12274073-Reviews-Ellis_Gourmet_Burger-Antwerp_Antwerp_Province.html,3.5,N.A.,N.A.,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h,11.30h-23h
10,Muro,Turkish,€€ - €€€,"Verschansingstraat 61, 2000 Antwerpen",Y,03 237 43 65,http://www.muroderman.be/,Turkish delight,https://www.tripadvisor.com/Restaurant_Review-g188636-d1212716-Reviews-Muro-Antwerp_Antwerp_Province.html,4,https://nl.yelp.be/biz/muro-antwerpen,4,12h-23h,12h-23h,12h-23h,12h-23h,12h-23h,14h-23h,14h-23h
11,Mon,Grill / Steakhouse,€€ - €€€,"Sint Aldegondiskaai 30, 2000 Antwerpen",N (webform),03 345 67 89,www.restaurantmon.be/,Josper grill Catalan style,https://www.tripadvisor.com/Restaurant_Review-g188636-d7159050-Reviews-Mon-Antwerp_Antwerp_Province.html,4,https://en.yelp.be/biz/mon-antwerpen,3.5,12h-14h.30h;18h-22h,12h-14h.30h;18h-22h,12h-14h.30h;18h-22h,12h-14h.30h;18h-22h,12h-14h.30h;18h-22h,12h-14h.30h;18h-22h,12h-22h
12,Cuichine,Chinese,€€ - €€€,"Draakstraat 13, 2018 Antwerpen",Y,03 289 92 45,http://www.cuichine.be/,Contemporary Chinese,https://www.tripadvisor.com/Restaurant_Review-g188636-d2177959-Reviews-Cuichine-Antwerp_Antwerp_Province.html,4.5,https://en.yelp.be/biz/cuichine-antwerpen,4,X,12h-14h;18h-22h,12h-14h;18h-22h,12h-14h;18h-22h,12h-14h;18h-22h,12h-14h;18h-22h,X
