id,rest_id,day,hours,is_open
1,1,mo,18h-24h,1
2,1,tu,X,0
3,1,we,16h-24h,1
4,1,th,16h-24h,1
5,1,fr,16h-02h,1
6,1,sa,15h-02h,1
7,1,su,15h-24h,1
8,2,mo,12h-22h,1
9,2,tu,12h-22h,1
10,2,we,12h-22h,1
11,2,th,12h-22h,1
12,2,fr,12h-22.30h,1
13,2,sa,12h-22.30h,1
14,2,su,12h-22h,1
15,3,mo,12h-22h,1
16,3,tu,12h-22h,1
17,3,we,12h-22h,1
18,3,th,12h-22h,1
19,3,fr,12h-22.30h,1
20,3,sa,12h-22.30h,1
21,3,su,12h-22h,1
22,4,mo,12h-23h,1
23,4,tu,X,0
24,4,we,12h-23h,1
25,4,th,12h-23h,1
26,4,fr,12h-23h,1
27,4,sa,12h-23h,1
28,4,su,12h-23h,1
29,5,mo,X,0
30,5,tu,18h-21h,1
31,5,we,18h-21h,1
32,5,th,18h-21h,1
33,5,fr,18h-21h,1
34,5,sa,18h-21h,1
35,5,su,X,0
36,6,mo,X,0
37,6,tu,11h-22h,1
38,6,we,11h-22h,1
39,6,th,11h-22h,1
40,6,fr,11h-22h,1
41,6,sa,17h-22h,1
42,6,su,11h-22h,1
43,7,mo,11.30h-23h,1
44,7,tu,11.30h-23h,1
45,7,we,11.30h-23h,1
46,7,th,11.30h-23h,1
47,7,fr,11.30h-23h,1
48,7,sa,11.30h-23h,1
49,7,su,11.30h-23h,1
50,8,mo,11.30h-23h,1
51,8,tu,11.30h-23h,1
52,8,we,11.30h-23h,1
53,8,th,11.30h-23h,1
54,8,fr,11.30h-23h,1
55,8,sa,11.30h-23h,1
56,8,su,11.30h-23h,1
57,9,mo,11.30h-23h,1
58,9,tu,11.30h-23h,1
59,9,we,11.30h-23h,1
60,9,th,11.30h-23h,1
61,9,fr,11.30h-23h,1
62,9,sa,11.30h-23h,1
63,9,su,11.30h-23h,1
64,10,mo,12h-23h,1
65,10,tu,12h-23h,1
66,10,we,12h-23h,1
67,10,th,12h-23h,1
68,10,fr,12h-23h,1
69,10,sa,14h-23h,1
70,10,su,14h-23h,1
71,11,mo,12h-14.30h;18h-22h,1
72,11,tu,12h-14.30h;18h-22h,1
73,11,we,12h-14.30h;18h-22h,1
74,11,th,12h-14.30h;18h-22h,1
75,11,fr,12h-14.30h;18h-22h,1
76,11,sa,12h-14.30h;18h-22h,1
77,11,su,12h-22h,1
78,12,mo,X,0
79,12,tu,12h-14h;18h-22h,1
80,12,we,12h-14h;18h-22h,1
81,12,th,12h-14h;18h-22h,1
82,12,fr,12h-14h;18h-22h,1
83,12,sa,12h-14h;18h-22h,1
84,12,su,X,0
85,13,mo,10h-22h,1
86,13,tu,10h-22h,1
87,13,we,10h-22h,1
88,13,th,10h-22h,1
89,13,fr,10h-22h,1
90,13,sa,X,0
91,13,su,X,0
92,14,mo,X,0
93,14,tu,10h-21h,1
94,14,we,10h-22h,1
95,14,th,10h-22h,1
96,14,fr,10h-22h,1
97,14,sa,10.30h-22h,1
98,14,su,10.30h-21h,1
99,15,mo,10h-21h,1
100,15,tu,X,0
101,15,we,10h-21h30,1
102,15,th,10h-21h30,1
103,15,fr,10h-21h30,1
104,15,sa,10h-21h30,1
105,15,su,10h-21h,1
106,16,mo,12h-14.30h; 18h-22.30h,1
107,16,tu,12h-14.30h; 18h-22.30h,1
108,16,we,12h-14.30h; 18h-22.30h,1
109,16,th,12h-14.30h; 18h-22.30h,1
110,16,fr,12h-14.30h; 18h-22.30h,1
111,16,sa,12h-14.30h; 18h-22.30h,1
