id,name,city_id,longitude,latitude,address,phone,website,has_reservation,master_rating,cuisine,blurb,price,last_updated,genre,recom_bf,recom_lunch
1,Billie's Bier Kafetaria,1,4.4003032,51.2184161,"Kammenstraat 12, 2000 Antwerpen",03 226 31 83,https://www.facebook.com/billiesbierkafetaria/,0,4.5,Belgian,Beer degustation bar with surprisingly good food,€€ - €€€,2017-11-25 23:09:02.677000,Adventurous,0,0
2,Zaowang,1,4.3995775,51.220216,"Oude Koornmarkt 22, 2000 Antwerpen",03 290 55 29,http://www.zaowang.be/,1,4.0,Japanese,Sushi boats coming your way,€€ - €€€,2017-11-25 23:09:03.215000,Traditional,0,0
3,Zaowang Zuid,1,4.3955023,51.2112181,"Scheldestraat 72, 2000 Antwerpen",03 336 07 60,http://www.zaowang.be/,1,4.0,Japanese,Sushi boats coming your way,€€ - €€€,2017-11-25 23:09:03.738000,Traditional,0,0
4,Cilvilta del Bere,1,4.3927157,51.2087829,"De Burburestraat 43, 2000 Antwerpen",03 257 56 60,https://www.civiltadelbere.be,0,4.25,Italian,Authentic pizza to die for,€€ - €€€,2017-11-25 23:09:04.273000,Traditional,0,0
5,Bistrot Miro,1,4.4331233,51.2134993,"Moorkensplein 28, 2140 Antwerpen",03 235 03 25,www.bistrotmiro.be,1,4.5,Belgian,Belgian cuisine with Catalan influences,€€ - €€€,2017-11-25 23:09:04.987000,Traditional,0,0
6,Ciro's,1,4.402136,51.209117,"Amerikalei 6, 2000 Antwerpen",03 238 11 47,www.ciros.be,0,4.25,Belgian,"Pure Belgian tradition, what more do you need",€€ - €€€,2017-11-25 23:09:05.507000,Traditional,0,0
7,Ellis Gourmet Burger,1,4.404542,51.2278795,"Sint Aldegondiskaai 52, 2000 Antwerpen",03 344 54 55,http://ellisgourmetburger.be,0,3.75,American,Burger Heaven,€€ - €€€,2017-11-25 23:09:05.975000,Traditional,0,0
8,Ellis Gourmet Burger,1,4.4180625,51.2177651,"De Keyserlei 21, 2000 Antwerpen",03 344 54 55,http://ellisgourmetburger.be,0,3.75,American,Burger Heaven,€€ - €€€,2017-11-25 23:09:06.430000,Traditional,0,0
9,Ellis Gourmet Burger,1,4.3938942,51.2098993,"Leopold de Waelplaats 2, 2000 Antwerpen",03 361 07 10,http://ellisgourmetburger.be,0,3.5,American,Burger Heaven,€€ - €€€,2017-11-25 23:09:06.957000,Traditional,0,0
10,Muro,1,4.3895932,51.2081361,"Verschansingstraat 61, 2000 Antwerpen",03 237 43 65,http://www.muroderman.be/,1,4.0,Turkish,Turkish delight,€€ - €€€,2017-11-25 23:09:07.560000,Adventurous,0,0
11,Mon,1,4.4036132,51.2278591,"Sint Aldegondiskaai 30, 2000 Antwerpen",03 345 67 89,www.restaurantmon.be/,0,3.75,Grill / Steakhouse,Josper grill Catalan style,€€ - €€€,2017-11-25 23:09:08.146000,Traditional,0,0
12,Cuichine,1,4.4310209,51.2065524,"Draakstraat 13, 2018 Antwerpen",03 289 92 45,http://www.cuichine.be/,1,4.25,Chinese,Contemporary Chinese,€€ - €€€,2017-11-25 23:09:08.760000,Adventurous,0,0
13,La Pipe d'Anvers,1,4.4125278,51.2332718,"Cadixstraat 8, 2000 Antwerpen",03 770 61 11,http://www.lapipedanvers.be,0,4.25,Belgian,Time warp to grandmother's cooking,€€ - €€€,2017-11-25 23:09:09.285000,Traditional,0,0
14,Den Box,1,4.4056706,51.2304883,"Nassaustraat 19, 2000 Antwerpen",03 501 40 70,http://www.denboxantwerp.be,1,4.0,Belgian,Comfort food at it's best,€€ - €€€,2017-11-25 23:09:09.901000,Traditional,0,1
15,Lunchbox,1,4.4097,51.2141152,"Nieuwstad 8-10, 2000 Antwerpen",03 231 04 79,http://www.lunchbox.be,1,3.75,Belgian,Comfort food at it's best,€€ - €€€,2017-11-25 23:09:10.503000,Traditional,0,1
16,L'Officina,1,4.406381,51.2303322,"Verbindingsdok-Westkaai 20, 2000 Antwerpen",03 226 92 78,http://ristorante-lofficina.be/,0,4.5,Italian,Pure taste of Italy,€€ - €€€,2017-11-25 23:09:11.122000,Traditional,0,0
17,Pizzeria Orso,1,4.4288416,51.208035,"Grote Beerstraat 46, 2018 Antwerpen",03 501 11 77,http://www.orsopizzeria.be,0,4.25,Italian,It's all about pizza. Great Pizza,€€ - €€€,2017-11-25 23:09:11.737000,Traditional,0,0
18,Black Smoke,1,4.4166365,51.1996024,"Boomgaardstraat 1, 2018 Antwerpen",03 230 75 73,http://blacksmoke.be/en/,1,4.25,BBQ,Fire up that grill. It's BBQ time!,€€ - €€€,2017-11-25 23:09:12.189000,Traditional,0,0
19,Pho 61,1,4.4007406,51.2210826,"Grote Markt 42, 2000 Antwerpen",03 232 90 13,https://www.facebook.com/pho61antwerp/,0,3.75,Vietnamese,Great Vietnamese street food in an unusual location,€€ - €€€,2017-11-25 23:09:12.764000,Adventurous,0,0
20,Gojo Ethiopian Resto Bar,1,4.4052245,51.2219284,"Minderbroedersrui 43, 2000 Antwerpen",03 284 20 49,https://www.facebook.com/Gojo-Ethiopian-Resto-Bar-1565935370333612/,0,4.5,Ethiopian,Not afraid to get your hands dirty? Just go for it!,€€ - €€€,2017-11-25 23:09:13.312000,Adventurous,0,0
21,O'Tagine,1,4.3970272,51.2208141,"Ernest Van Dijckkaai 13, 2000 Antwerpen",0483 70 11 46,https://www.facebook.com/restaurantotagine/,0,4.0,Maroccan,Morrocan stews,€€ - €€€,2017-11-25 23:09:13.899000,Adventurous,0,0
22,Little Ethiopia,1,4.4002513,51.2230815,"Zirkstraat 8, 2000 Antwerpen",03 336 22 93,http://little-ethiopia.be/,0,3.75,Ethiopian,Real taste of Africa,€€ - €€€,2017-11-25 23:09:14.408000,Adventurous,0,0
23,Nora,1,4.431995,51.2088257,"Wolfstraat 35, 2018 Antwerpen",03 502 35 05,http://www.noraindian.be/,0,3.75,Indian,Get ready to burn your mouth. In a good way ;-),€€ - €€€,2017-11-25 23:09:14.819000,Adventurous,0,0
24,Tapta,1,4.4080382,51.2093719,"Mechelsesteenweg 64A, 2018 Antwerpen",03 369 37 35,http://www.tapta.be/,1,3.0,Belgian,"Tapas, new style",€€ - €€€,2017-11-25 23:09:15.325000,Traditional,0,1
25,Dock's Café,1,4.3994976,51.2248451,"Jordaenskaai 7, 2000 Antwerpen",03 226 63 30,http://www.docks.be/en/,1,4.0,Belgian,Await your sailor in style,€€ - €€€,2017-11-25 23:09:15.696000,Traditional,0,0
26,Azuma,1,4.3938315,51.2099081,"Verlatstraat 39, 2000 Antwerpen",03 288 58 99,http://www.azuma-asiandining.be/,0,4.5,Asian,Tribute to the Asian cuisine,€€ - €€€,2017-11-25 23:09:16.458000,Adventurous,0,0
27,Kapitein Zeppos,1,4.4043504,51.213657,"Vleminckveld 78, 2000 Antwerpen",03 231 17 89,N.A.,0,4.0,Belgian,No nonsense food with an amicable crowd,€€ - €€€,2017-11-25 23:09:17.170000,Traditional,0,0
28,Hannekesnest,1,4.409293,51.2304508,"Bordeauxstraat 7B, 2000 Antwerpen",03 226 70 23,http://www.hannekesnest.be/,0,4.5,Belgian,Quick diner in casual environment,€€ - €€€,2017-11-25 23:09:17.606000,Traditional,0,0
29,Frank & Brut,1,4.3966274,51.2204547,"Ernest Van Dijckkaai 19, 2000 Antwerpen",03 502 83 93,http://frankandbrut.be/,1,4.0,Fusion,Hot dogs and Champagne - Must try combination,€€ - €€€,2017-11-25 23:09:18.082000,Adventurous,0,0
30,El Sabor Andino,1,4.4128222,51.2261976,"Ankerrui 54, 2000 Antwerpen",03 289 32 90,http://www.elsaborandino.be/,0,4.25,Peruvian,Peruvian food in Antwerp? Only one place to go!,€€ - €€€,2017-11-25 23:09:18.667000,Adventurous,0,0
31,Bun,1,4.4060783,51.2126329,"Sint-Jorispoort 22, 2000 Antwerpen",03 234 04 16,https://www.bunantwerp.be/,1,4.5,Vietnamese,Gastronomical Vietnamese  streetfood,€€ - €€€,2017-11-25 23:09:19.231000,Adventurous,0,0
